"Adresse","Occurrences","H1-1","Longueur du H1-1","H1-2","Longueur du H1-2","Indexabilité","Statut d'indexabilité"
"https://anihome.fr/","1","Garde d’animaux de compagnie à votre domicile","45","","0","Indexable",""
"https://anihome.fr/politique-de-confidentialite/","1","Politique de confidentialité","28","","0","Indexable",""
"https://anihome.fr/album/","2","La grande famille","17","Ils ont croisé notre route, une journée ou une vie…","51","Indexable",""
"https://anihome.fr/portfolio-items/rongeurs-et-nac/","1","Rongeurs et nac","15","","0","Indexable",""
"https://anihome.fr/tarifs/","1","Nos tarifs","10","","0","Indexable",""
"https://anihome.fr/mentions-legales/","1","Mentions légales","16","","0","Indexable",""
"https://anihome.fr/portfolio-items/service-durgences/","1","Service d’urgences","18","","0","Indexable",""
"https://anihome.fr/author/mowgli/","1","Mowgli","6","","0","Indexable",""
"https://anihome.fr/qui-sommes-nous/","1","Qui sommes nous ?","17","","0","Indexable",""
"https://anihome.fr/contact/","1","Contactez nous","14","","0","Indexable",""
"https://anihome.fr/nos-services/","1","Nos services","12","","0","Indexable",""
"https://anihome.fr/actualite/","1","L'actualité des animaux","23","","0","Indexable",""
"https://anihome.fr/portfolio-items/reptiles/","1","Reptiles","8","","0","Indexable",""
"https://anihome.fr/portfolio-items/promenades/","1","Promenades","10","","0","Indexable",""
"https://anihome.fr/actualite/page/2/","1","L'actualité des animaux","23","","0","Non indexable","Canonisé"
"https://anihome.fr/portfolio-items/gardiennage/","1","Gardiennage","11","","0","Indexable",""
"https://anihome.fr/portfolio-items/gardes-a-domicile/","1","Gardes à domicile","17","","0","Indexable",""
"https://anihome.fr/les-meilleurs-endroits-pour-partir-en-vacances-avec-son-animal-de-compagnie/","1","Les meilleurs endroits pour partir en vacances avec son animal de compagnie","75","","0","Indexable",""
"https://anihome.fr/comment-choisir-le-meilleur-aliment-pour-son-animal-de-compagnie/","1","Comment choisir le meilleur aliment pour son animal de compagnie ?","66","","0","Indexable",""
"https://anihome.fr/les-bienfaits-de-la-zootherapie-comment-les-animaux-peuvent-nous-aider-a-aller-mieux/","1","Les bienfaits de la zoothérapie : comment les animaux peuvent nous aider à aller mieux ?","88","","0","Indexable",""
"https://anihome.fr/les-conseils-pour-adopter-un-animal-de-compagnie-dans-un-refuge-comment-bien-le-choisir-et-laccueillir/","1","Les conseils pour adopter un animal de compagnie dans un refuge : comment bien le choisir et l’accueillir ?","107","","0","Indexable",""
"https://anihome.fr/les-astuces-pour-eduquer-son-animal-de-compagnie-comment-lui-apprendre-les-bonnes-manieres/","1","Les astuces pour éduquer son animal de compagnie : comment lui apprendre les bonnes manières ?","94","","0","Indexable",""
"https://anihome.fr/comment-bien-choisir-son-petsitter-quelles-sont-les-reglementations-en-france/","1","Comment bien choisir son petsitter ? Quelles sont les réglementations en France ?","81","","0","Indexable",""
"https://anihome.fr/les-idees-de-jeux-et-dactivites-pour-stimuler-son-animal-de-compagnie-comment-le-rendre-heureux-et-en-bonne-sante/","1","Les idées de jeux et d’activités pour stimuler son animal de compagnie : comment le rendre heureux et en bonne santé ?","118","","0","Indexable",""
"https://anihome.fr/les-nouvelles-lois-pour-lutter-contre-la-maltraitance-et-labandon-des-animaux-de-compagnie/","1","Les nouvelles lois pour lutter contre la maltraitance et l’abandon des animaux de compagnie","91","","0","Indexable",""
"https://anihome.fr/les-tendances-mode-pour-les-animaux-de-compagnie-comment-les-habiller-avec-style/","1","Les tendances mode pour les animaux de compagnie : comment les habiller avec style ?","84","","0","Indexable",""
"https://anihome.fr/les-dangers-de-lautomedication-chez-les-animaux-de-compagnie-pourquoi-consulter-un-veterinaire/","1","Les dangers de l’automédication chez les animaux de compagnie : pourquoi consulter un vétérinaire ?","99","","0","Indexable",""
